province,district,posto
,NAMUNO,MACHOCA
,NAMUNO,MELOCO
,NAMUNO,NCUMPE
,NAMUNO,LULI
,NANGADE,NANGADE
,NANGADE,NTAMBA
,PALMA,PALMA
,PALMA,OLUMBE
,PALMA,PUNDANHAR
,PALMA,QUIONGA
,PEMBA_METUGE,METUGE
,PEMBA_METUGE,MIEZE
,QUISSANGA,QUISSANGA
,QUISSANGA,BILIBIZA
,QUISSANGA,MAHATE
,ANGOCHE,AUBE
,ANGOCHE,NAMAPONDA
,ANGOCHE,BOILA_NAMETORIA
,NAMAPA_ERATI,NAMAPA_ERATI
,NAMAPA_ERATI,ALUA
,NAMAPA_ERATI,NAMIROA
,ILHA DE MOCAMBIQUE,LUMBO
,LALAUA,LALAUA
,LALAUA,METI
,MALEMA,MALEMA
,MALEMA,CHIHULO
,MALEMA,MUTUALI
,MECONTA,MECONTA
,MECONTA,CORRANE
,MECONTA,NAMIALO
,MECONTA,7 DE ABRIL
,MECUBURI,MECUBURI
,MECUBURI,MILHANA
,MECUBURI,MUITE
,MECUBURI,NAMINA
,MEMBA,MEMBA
,MEMBA,CHIPENE
,MEMBA,LURIO
,MEMBA,MAZUE
,MOGINCUAL,MONGICUALA
,MOGINCUAL,QUINGA
,MOGINCUAL,CHUNGA
,MOGINCUAL,QUIXAXE
,MOGINCUAL,LIUPO
,MOGOVOLAS,NAMETIL
,MOGOVOLAS,CALIPO
,MOGOVOLAS,ILUTE
,MOGOVOLAS,MUATUA
,MOGOVOLAS,NANHUPO
,MOMA,MACONE
,MOMA,CHALAUA
,MOMA,LARDE
,MOMA,MUCUALI
,MONAPO,MONAPO
,MONAPO,ITOCULO
,MONAPO,NETIA
,MOSSURIL,MOSSURIL
,MOSSURIL,LUNGA
,MOSSURIL,MATIBANE
,MUECATE,MUECATE
,MUECATE,IMALA
,MUECATE,MUCULUONE
,MURRUPULA,MURRUPULA
,MURRUPULA,CHINGA
,MURRUPULA,NEHESSINE
,NACALA_VELHA,NACALA_VELHA
,NACALA_VELHA,COVO
,NACAROA,NACAROA
,NACAROA,INTETE
,NACAROA,SAUA_SAUA
,RAPALE_NAMPULA,RAPALE
,RAPALE_NAMPULA,ANCHILO
,RAPALE_NAMPULA,MUTIVAZE
,RAPALE_NAMPULA,NAMAITA
,RIBAUE,RIBAUE
,RIBAUE,KUNLE
,RIBAUE,IAPALA
,ALTO MOLOCUE,ALTO MOLOCUE
,ALTO MOLOCUE,NAUELA
,CHINDE,CHINDE_SEDE
,LUABO,LUABO
,CHINDE,MICAUNE
,GILE,GILE
,GILE,ALTO LIGONHA
,GURUE,LIOMA
,GURUE,NEPUAGIUA
,ILE,ERREGO
,MULEVALA,MULEVALA
,ILE,SOCONE
,INHASSUNGE,MUCUPIA
,INHASSUNGE,GONHANE
,LUGELA,LUGELA
,LUGELA,TACUANE
,LUGELA,MUNHAMADE
,LUGELA,MUABANAMA
,MAGANJA DA COSTA,MAGANJA DA COSTA
,MAGANJA DA COSTA,BOJONE
,MOCUBELA,MOCUBELA
,MAGANJA DA COSTA,NANTE
,MILANGE,MILANGE
,MILANGE,MAJAUA
,MOLUMBO,MOLUMBO
,MILANGE,MONGUE
,MOCUBA,MUGEBA
,MOCUBA,NAMAJAVIRA
,MOPEIA,MOPEIA
,MOPEIA,CAMPO
,MORRUMBALA,MORRUMBALA
,MORRUMBALA,CHIRE
,DERRE,DERRE
,MORRUMBALA,MEGAZA
,NAMACURRA,NAMACURRA
,NAMACURRA,MUCUSE
,NAMAROI,NAMARROI
,NAMAROI,REGONE
,NICOADALA,NICOADALA
,NICOADALA,MAQUIVAL
,PEBANE,PEBANE
,PEBANE,MULELA MUALAMA
,PEBANE,NABURI
,ANGONIA,ULONGOE
,ANGONIA,DOMUE
,CAHORA_BASSA,SONGO
,CAHORA_BASSA,CHITHOLO
,CAHORA_BASSA,CHITIMA
,CHANGARA,LUENHA
,CHANGARA,CHIOCO
,CHANGARA,MAVARA
,CHIFUNDE,CHIFUNDE
,CHIFUNDE,MUALADZI
,CHIFUNDE,N'SADZO
,CHIUTA,KAZULA
,CHIUTA,MANGE
,MACANGA,FURANCUNGO
,MACANGA,CHIDZOLOMONDO
,MAGOE,MPHEENDE
,MAGOE,CHINTHOPO
,MAGOE,MUKUMBURA
,MARAVIA,CHIPUTO
,MARAVIA,FINGOE
,MARAVIA,MOLOWERA
,MARAVIA,CHEPERA
,MOATIZE,MOATIZE
,MOATIZE,KAMBULATSITSI
,MOATIZE,ZOMBUE
,MUTARARA,NHAMAYABUE
,MUTARARA,CHARE
,MUTARARA,DOA
,MUTARARA,INHANGOMA
,TSANGANO,NTENGO_WAMBALAME
,TSANGANO,TSANGANO
,ZUMBO,ZUMBO
,ZUMBO,MUZE
,ZUMBO,ZAMBUE
,BARUE,CATANDICA
,BARUE,CHOA
,BARUE,NHAMPASSA
,GONDOLA,GONDOLA
,GONDOLA,AMATONGAS
,GONDOLA,CAFUMPE
,GONDOLA,INCHOPE
,GONDOLA,MACATE
,GONDOLA,MATSINHO
,GONDOLA,ZEMBE
,GURO,GURO
,GURO,DACATA
,GURO,MANDIE
,GURO,MUNGARI
,GURO,NHAMASSONGE
,MACHAZE,MACHAZE
,MACHAZE,SAVE
,MACOSSA,MACOSSA
,MACOSSA,NGUAWALA
,MACOSSA,NHAMANGUA
,MANICA,MACHIPANDA
,MANICA,MESSICA
,MANICA,MAVONDE
,MANICA,VANDUZI
,MOSSURIZE,ESPUNGABERA
,MOSSURIZE,CHIURAIRUE
,MOSSURIZE,DACATA
,SUSSUNDENGA,SUSSUNDENGA
,SUSSUNDENGA,DOMBE
,SUSSUNDENGA,MUHOA
,SUSSUNDENGA,ROTANDA
,TAMBARA,NHACOLO
,TAMBARA,BUZUA
,TAMBARA,NHACAFULA
,BUZI,BUZI
,BUZI,ESTAQUINHA
,BUZI,NOVA_SOFALA
,CAIA,CAIA
,CAIA,MURRACA
,CAIA,SENA
,CHEMBA,CHEMBA
,CHEMBA,CHIRAMBA
,CHEMBA,MULIMA
,CHERINGOMA,INHAMINGA
,CHERINGOMA,INHAMITANGA
,CHIBABAVA,CHIBABAVA
,CHIBABAVA,GOONDA
,CHIBABAVA,MUXUNGUE
,DONDO,MAFAMBISSE
,GORONGOSA,GORONGOSA
,GORONGOSA,NHAMADZI
,GORONGOSA,VANDUZI
,MACHANGA,MACHANGA
,MACHANGA,DIVINHE
,MARINGUE,MARINGUE
,MARINGUE,CANXIXE
,MARINGUE,SUBUI
,MARROMEU,MARROMEU
,MARROMEU,CHUPANGA
,MUANZA,MUANZA
,MUANZA,GALINHA
,NHAMATANDA,NHAMATANDA
,NHAMATANDA,TICA
,FUNHALOURO,FUNHALOURO
,FUNHALOURO,TOME
,GOVURO,NOVA MAMBONE
,GOVURO,SAVE
,HOMOINE,HOMOINE
,HOMOINE,PEMBE
,INHARRIME,INHARRIME
,INHARRIME,MUCUMBI
,INHASSORO,INHASSORO
,INHASSORO,BAZARUTO
,JANGAMO,JANGAMO
,JANGAMO,CUMBANA
,MABOTE,MABOTE
,MABOTE,ZIMANE
,MABOTE,ZINAVE
,MASSINGA,MASSINGA
,MASSINGA,CHICOMO
,MORRUMBENE,MORRUMBENE
,MORRUMBENE,MUCODOENE
,PANDA,PANDA
,PANDA,MAWAYELA
,PANDA,URRENE
,VILANKULO,VILANKULO
,VILANKULO,MAPINHANE
,ZAVALA,QUISSICO
,ZAVALA,ZANDAMELA
,BILENE_MACIA,BILENE MACIA
,BILENE_MACIA,CHISSANO
,BILENE_MACIA,MAZIVILA
,BILENE_MACIA,MESSANO
,BILENE_MACIA,PRAIA DE BILENE 
,BILENE_MACIA,MACUANE
,CHIBUTO,ALTO CHANGANE
,CHIBUTO,CHAIMITE
,CHIBUTO,CHANGANINE
,CHIBUTO,GODIDE
,CHIBUTO,MALEHICE
,CHICUALACUALA,CHICUALACUALA
,CHICUALACUALA,MAPAI
,CHICUALACUALA,PAFURI
,CHIGUBO,CHIGUBO
,CHIGUBO,NDINDIZA
,CHOKWE,LIONDE
,CHOKWE,MACARRETANE
,CHOKWE,XILEMBENE
,GUIJA,CANICADO
,GUIJA,CHIVONGUENE
,GUIJA,MUBANGUENE
,GUIJA,NALAZI
,MABALANE,MABALANE
,MABALANE,COMBOMUNE
,MABALANE,NTLAVANE
,MANJACAZE,MANDLACAZE
